2020.05.17 20:42:14 INFO  started: Metals version 0.9.0 in workspace '/home/subair/Desktop/emergency'
2020.05.17 20:42:21 INFO  time: initialize in 8.94s
2020.05.17 20:42:33 WARN  no build tool detected in workspace '/home/subair/Desktop/emergency'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.05.17 20:42:38 INFO  shutting down Metals
2020.05.18 08:35:58 INFO  started: Metals version 0.9.0 in workspace '/home/subair/Desktop/emergency'
2020.05.18 08:36:00 INFO  time: initialize in 1.56s
2020.05.18 08:36:10 WARN  no build tool detected in workspace '/home/subair/Desktop/emergency'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.05.18 08:49:43 INFO  shutting down Metals
2020.05.18 11:13:34 INFO  started: Metals version 0.9.0 in workspace '/home/subair/Desktop/emergency'
2020.05.18 11:13:35 INFO  time: initialize in 1.08s
2020.05.18 11:13:40 WARN  no build tool detected in workspace '/home/subair/Desktop/emergency'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
